ML Model Name,Accuracy,AUC,Precision,Recall,F1 Score,MCC Score
Logistic Regression,0.8833,0.9817,0.8778,0.8833,0.8785,0.8303
Decision Tree,0.9958,0.9873,0.9959,0.9958,0.9958,0.994
KNN,0.7778,0.8268,0.7568,0.7778,0.758,0.674
Naive Bayes (Gaussian),0.525,0.7871,0.6227,0.525,0.5031,0.3708
Naive Bayes (Multinomial),0.7986,0.9416,0.7869,0.7986,0.7879,0.7072
Random Forest,0.9583,0.999,0.9604,0.9583,0.9522,0.94
XGBoost,0.9986,1.0,0.9987,0.9986,0.9986,0.998
